
--- 2026-09-22 17:19:56.792798 开始记录 ---
Ilog_system_init:log init ok, buf=4096, filter=1
Iio_system_init:IO System Init OK
Iw25qxx_drv_init:W25Q init start
Iw25qxx_drv_init:W25Q init OK (ID:0xEF17)
Iads1255_init:ADS0: Initting
Iads1255_init:Init ok
Iads1255_init:ADS1: Initting
Iads1255_init:Init ok
Iadc_system_init:ADS Init OK
RE35485,4985259,5177351,5040483,5151505
RE35486,4985002,5177526,5038360,5151921
RE35487,4985216,5177088,5037189,5149125
RE35488,4984917,5177530,5036182,5150097
RE35489,4985048,5177628,5036346,5148806
RE35490,4984979,5177433,5036214,5147822
RE35491,4985704,5177613,5035975,5148979
RE35492,4985102,5177392,5035021,5147669
RE35493,4985052,5177441,5035117,5146294
RE35494,4985038,5177394,5033885,5147095
RE35495,4985076,5177442,5032305,5145350
RE35496,4985292,5177447,5033219,5145436
RE35497,4985359,5177325,5033135,5144714
RE35498,4985057,5177288,5033334,5145484
RE35499,4984944,5177127,5031593,5143559
RE35500,4985112,5177625,5031218,5144136
RE35501,4985395,5177284,5031711,5143888
RE35502,4985086,5177241,5032190,5144260
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35503,4984976,5177181,5030796,5143667
RE35504,4985043,5177398,5031051,5143564
RE35505,4985448,5177553,5031425,5144086
RE35506,4985266,5176951,5030539,5142178
RE35507,4985022,5177599,5030969,5144545
RE35508,4985434,5177844,5030782,5144747
RE35509,4985684,5177373,5033923,5144488
RE35510,4985274,5177976,5031466,5146219
RE35511,4985586,5177646,5033670,5145835
RE35512,4985481,5177503,5033288,5145130
RE35513,4985501,5177670,5032693,5146333
RE35514,4985227,5177449,5031106,5146336
RE35515,4985436,5177187,5034343,5145409
RE35516,4985235,5177557,5035325,5147645
RE35517,4985223,5178007,5035196,5147563
RE35518,4985225,5177804,5036128,5147273
RE35519,4985403,5177526,5034745,5149050
RE35520,4985416,5177599,5037376,5149566
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35521,4985193,5177337,5035660,5150686
RE35522,4985090,5177682,5036210,5150332
RE35523,4985244,5177494,5036577,5149561
RE35524,4985162,5177542,5037041,5150505
RE35525,4985280,5177287,5038402,5151274
RE35526,4985417,5177532,5038148,5151871
RE35527,4985091,5177758,5039109,5152108
RE35528,4985419,5177377,5038313,5149755
RE35529,4985538,5177500,5037222,5150907
RE35530,4985044,5177328,5037498,5150376
RE35531,4985146,5177388,5038893,5149206
RE35532,4985142,5177142,5038745,5149478
RE35533,4984979,5177429,5038991,5149128
RE35534,4985063,5177484,5036381,5149457
RE35535,4985366,5177781,5036073,5150062
RE35536,4985362,5177471,5036049,5148320
RE35537,4985142,5177608,5034698,5147107
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35538,4985331,5177697,5034885,5146452
RE35539,4985285,5177497,5035082,5145378
RE35540,4985536,5177579,5033078,5145752
RE35541,4985468,5177689,5032714,5146241
RE35542,4985369,5177885,5032952,5144986
RE35543,4985040,5177023,5031933,5143809
RE35544,4985365,5177462,5031998,5144542
RE35545,4985431,5177629,5031590,5143255
RE35546,4985255,5177676,5031991,5142259
RE35547,4985272,5177343,5031558,5143045
RE35548,4985514,5177439,5029786,5143945
RE35549,4985202,5177144,5032020,5143300
RE35550,4985292,5176939,5031027,5143737
RE35551,4985429,5177163,5032151,5144104
RE35552,4984992,5177249,5031147,5143877
RE35553,4984997,5177342,5031104,5144612
RE35554,4985387,5177108,5031923,5145856
RE35555,4985259,5177199,5033881,5144799
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35556,4984884,5177179,5033104,5146403
RE35557,4985022,5177231,5032513,5144275
RE35558,4985403,5177230,5032000,5146670
RE35559,4985190,5177439,5034051,5147075
RE35560,4985011,5177435,5034871,5148372
RE35561,4985279,5177413,5035610,5149313
RE35562,4985333,5177454,5037312,5148810
RE35563,4985177,5177607,5037269,5150012
RE35564,4985294,5177515,5037483,5149917
RE35565,4985127,5177306,5037582,5150453
RE35566,4985228,5177636,5037765,5150855
RE35567,4985175,5177158,5038979,5149962
RE35568,4985339,5177328,5038997,5150671
RE35569,4985254,5177111,5039966,5152945
RE35570,4985192,5177284,5038255,5151579
RE35571,4985229,5177444,5039874,5152246
RE35572,4985419,5177535,5039442,5152982
RE35573,4984855,5176961,5038242,5150663
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35574,4985333,5177631,5040653,5151127
RE35575,4985341,5177182,5039082,5150424
RE35576,4985241,5177339,5037255,5149952
RE35577,4984960,5177320,5036495,5148316
RE35578,4985082,5177477,5037006,5149546
RE35579,4985150,5177412,5036000,5149378
RE35580,4985432,5177556,5035106,5149000
RE35581,4985388,5177347,5036829,5146642
RE35582,4985349,5177481,5035514,5147694
RE35583,4985347,5177228,5034368,5146092
RE35584,4985684,5177488,5035846,5147462
RE35585,4985394,5177219,5033895,5146126
RE35586,4985443,5177543,5032751,5144877
RE35587,4985619,5177712,5033662,5145031
RE35588,4985073,5177302,5031691,5143996
RE35589,4985440,5177293,5031807,5144204
RE35590,4985283,5177378,5030097,5142715
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35591,4985121,5177385,5029441,5143662
RE35592,4984945,5177219,5031432,5142555
RE35593,4985110,5177148,5030992,5143950
RE35594,4985161,5177394,5029737,5143358
RE35595,4985195,5177331,5030663,5143751
RE35596,4985267,5177394,5032010,5143747
RE35597,4985213,5177170,5030597,5144497
RE35598,4985247,5177379,5031923,5144698
RE35599,4985206,5177434,5032850,5145093
RE35600,4985360,5177723,5033207,5144116
